parameter,,logP,logP,logP
statistic,,mean,median,std
dataset,model,,,
bao.desi_dr2+des_y1.joint,nrunlcdm,-3.0025283324721554,-3.0062864585692637,0.16130804441031535
bao.desi_dr2+des_y1.joint,rlcdm,-2.238637243119485,-2.2342554813874074,0.14392308334443776
bao.desi_dr2+des_y1.joint,walcdm,-3.865760333394761,-3.8686310878297547,0.1611655966313721
bao.desi_dr2+des_y1.joint,wlcdm,-3.0696682527321535,-3.068386694990096,0.16557006392552526
bao.desi_dr2+planck_2018_CamSpec,Alcdm,-2.5482010487077904,-2.545760200827317,0.19770438241029661
bao.desi_dr2+planck_2018_CamSpec,klcdm,-3.9500670451712994,-3.9501416377383975,0.20966787277782792
bao.desi_dr2+planck_2018_CamSpec,lcdm,-0.6558613300310444,-0.651245752151226,0.09998339075573766
bao.desi_dr2+planck_2018_CamSpec,mlcdm,-3.2693711992302417,-3.2750162632059983,0.20954753914190552
bao.desi_dr2+planck_2018_CamSpec,nrunlcdm,-5.343633718433929,-5.345966831572696,0.21966194764008723
bao.desi_dr2+planck_2018_CamSpec,rlcdm,-4.353569126895862,-4.3430264942776375,0.21126830081776907
bao.desi_dr2+planck_2018_CamSpec,walcdm,-1.2322297669993731,-1.2200698696951804,0.15670401663812183
bao.desi_dr2+planck_2018_CamSpec,wlcdm,-3.6363550802346554,-3.640298791740861,0.2020160733738094
bao.desi_dr2+planck_2018_CamSpec_nolens,Alcdm,-0.8397896222638319,-0.8331117692600856,0.1242817531806445
bao.desi_dr2+planck_2018_CamSpec_nolens,klcdm,-5.0940057877961795,-5.091182057843071,0.21670072586432448
bao.desi_dr2+planck_2018_CamSpec_nolens,lcdm,-1.1820660934008984,-1.1815174300718354,0.1493407361541376
bao.desi_dr2+planck_2018_CamSpec_nolens,mlcdm,-4.589554234287458,-4.591059605901137,0.20476242368280748
bao.desi_dr2+planck_2018_CamSpec_nolens,nrunlcdm,-5.646221016819441,-5.650912654816693,0.20247112657068456
bao.desi_dr2+planck_2018_CamSpec_nolens,rlcdm,-5.2342737313651275,-5.229792215400266,0.21913175742211904
bao.desi_dr2+planck_2018_CamSpec_nolens,walcdm,-1.5441883032271488,-1.5338510692640739,0.17402887496050637
bao.desi_dr2+planck_2018_CamSpec_nolens,wlcdm,-4.408407375480652,-4.404503339118946,0.20757710344133876
bao.desi_dr2+planck_2018_lensing,Alcdm,-2.1079817436688866,-2.1096711801930432,0.09919667725913262
bao.desi_dr2+planck_2018_lensing,klcdm,-3.5317395141659764,-3.5308406067472458,0.11722676173108153
