parameter,,logP,logP,logP
statistic,,mean,median,std
dataset,model,,,
bao.desi_dr2+planck_2018_plik+sn.desy5,walcdm,-0.0604139215890663,-0.0582617450072575,0.014556476268712
bao.desi_dr2+planck_2018_plik+sn.desy5,wlcdm,-5.195415338084131,-5.199678773662527,0.2693471572308655
bao.desi_dr2+planck_2018_plik+sn.pantheonplus,Alcdm,-2.0077871885163496,-2.0084344535189302,0.2091908085535681
bao.desi_dr2+planck_2018_plik+sn.pantheonplus,klcdm,-3.51110312236991,-3.503552907398671,0.2305561865972186
bao.desi_dr2+planck_2018_plik+sn.pantheonplus,lcdm,-0.3679631994201695,-0.3611663281135406,0.0675861688470945
bao.desi_dr2+planck_2018_plik+sn.pantheonplus,mlcdm,-4.211126255940487,-4.209972037534499,0.2341148646773404
bao.desi_dr2+planck_2018_plik+sn.pantheonplus,nrunlcdm,-5.6583248467556055,-5.650790240743845,0.2310920172778309
bao.desi_dr2+planck_2018_plik+sn.pantheonplus,rlcdm,-3.984751732361803,-3.985446714644695,0.2320959524322377
bao.desi_dr2+planck_2018_plik+sn.pantheonplus,walcdm,-2.396630335037917,-2.400648963298181,0.2179725940410201
bao.desi_dr2+planck_2018_plik+sn.pantheonplus,wlcdm,-4.955083105170937,-4.956905950138662,0.235491789847586
bao.desi_dr2+planck_2018_plik+sn.union3,Alcdm,-3.346814217996364,-3.341598718227488,0.243340288069507
bao.desi_dr2+planck_2018_plik+sn.union3,klcdm,-5.101062858044559,-5.107385981306265,0.2551114441371132
bao.desi_dr2+planck_2018_plik+sn.union3,lcdm,-1.7819933826644296,-1.7707580727451386,0.2162682088478439
bao.desi_dr2+planck_2018_plik+sn.union3,mlcdm,-5.161213455605002,-5.160034869455217,0.2567898317749013
bao.desi_dr2+planck_2018_plik+sn.union3,nrunlcdm,-6.84160926029058,-6.843337642317806,0.2567047294297356
bao.desi_dr2+planck_2018_plik+sn.union3,rlcdm,-6.564917857418532,-6.566801901391614,0.2440061156076382
bao.desi_dr2+planck_2018_plik+sn.union3,walcdm,-0.26153326162051,-0.2554180347425472,0.056088184186732
bao.desi_dr2+planck_2018_plik+sn.union3,wlcdm,-5.200426130713489,-5.204076903400846,0.2566245459668124
