,,theta0,theta1,logL,logL_birth,nlive
labels,,$\theta_0$,$\theta_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,
174,5.547738929977683e-39,2.3577891684174013,3.7641437964223616,-93.56676934576163,-173.2201581662093,125
175,7.313871051453151e-39,-2.1319975434405825,-2.201991054556723,-93.2824189316579,-95.08157577785289,125
176,1.6538434611262095e-38,2.3575577358300066,-3.0312149335301557,-92.45853640869912,-165.13313425141573,125
177,1.860898417473936e-38,2.1337984415547613,-2.759904321694022,-92.33261079730873,-inf,125
178,1.8464306518554764e-38,1.8252392400202666,-0.822978774792313,-92.33244762084648,-inf,125
179,3.046024597222444e-38,-3.9027359500687204,-1.3303838747857704,-91.82389651957213,-172.29276853645987,125
180,2.1787425828784263e-37,-3.4152215478811416,4.30005166361115,-89.84843267307792,-112.25824388125538,125
181,5.155448117899359e-37,-2.5977738410140003,-1.4408765291985546,-88.9791583744954,-423.30689813188,125
182,2.917526151736216e-36,4.482681927489256,-0.09729321949986591,-87.23792310544358,-104.85616459869176,125
183,3.609142211320722e-36,-1.7109041808634435,1.4599852374390938,-87.01722085516391,-115.27615836019518,125
184,1.2775169241623296e-35,-2.3499173113290412,1.0927845700078826,-85.74521943115352,-94.26038748719597,125
185,1.2900467362316547e-35,-4.771034898571003,-4.123399813584443,-85.72749110503464,-118.48822539429784,125
186,2.041657924447591e-35,-3.0149622777605036,0.9138880130140432,-85.26043919688942,-inf,125
187,2.813807670488085e-35,-3.2668859815456686,-1.0763812477184924,-84.93169460410866,-172.75923233133594,125
188,1.7874854830853866e-34,-2.73075725440845,-1.4513172470708575,-83.0748700762451,-221.60447016028428,125
189,1.9313887263094837e-34,-0.04835645551836443,2.180879340832334,-82.98947248932079,-126.51857655428513,125
190,2.7531065422927377e-34,-2.619238730952611,1.0369219942359198,-82.62701368530408,-789.447557341136,125
191,6.034995986885045e-34,4.36164779032303,0.798073283869952,-81.83420025192399,-102.32362080699596,125
192,6.595092060104187e-34,-2.668455524463217,1.0414121574980255,-81.73748152670306,-inf,125
193,4.2806877742236945e-33,-2.660096420158628,-3.76922876573403,-79.85914031761165,-85.26043919688942,125
194,1.5258668021096334e-32,-2.702117161588841,1.1067650251420416,-78.58013810315396,-197.43237803068834,125
195,2.868263314446231e-32,1.8878269994057018,0.20791300219296183,-77.94102584721828,-99.43185236895876,125
196,2.961705719722569e-32,0.4341299364414244,2.1767101272460536,-77.90099904823893,-395.93151264107655,125
197,4.6800395979824997e-32,0.8919029861949461,1.8384098382856031,-77.4354896666155,-inf,125
198,9.625081760799782e-32,2.0566017440418385,-1.8633824714939085,-76.70645569320114,-135.13453380284614,125
199,4.572386783682763e-31,-2.886929227855741,-1.5142423448092632,-75.1402394646141,-410.12904686279245,125
200,8.30690903053413e-31,3.277320630065031,-3.397556998907512,-74.53521905381896,-99.11514090949925,125
201,1.1197579895894146e-30,1.3451486726690565,1.403207962497083,-74.22864079179737,-inf,125
202,5.912285571346586e-30,0.9325130918020843,3.3501531996220084,-72.55675271722497,-104.07583179279409,125
203,6.469769272984531e-30,-2.6059577738870052,-1.92442747000561,-72.45867658690993,-106.71078991570724,125
204,1.282890875833576e-29,-0.29008564971332707,2.5052446912925834,-71.76614774298396,-93.2824189316579,125
205,3.0840636262195e-29,4.4338623665595875,-0.5500512371093791,-70.88104751488294,-273.97521558939513,125
206,4.783035949840168e-29,-3.1197567194434854,-4.073534130176923,-70.43425195095219,-326.6389688766267,125
207,4.969180499266006e-29,-4.592213229801674,-2.7449750788576304,-70.38810432511366,-137.49296303233837,125
208,6.843549989679281e-29,-3.3587536706291234,1.47472838622903,-70.06008449115619,-95.35020056567998,125
