,,Ωbh2,Ωch2,h,τ,ns,lnA,logL,logL_birth,nlive
labels,,$\Omega_b h^2$,$\Omega_c h^2$,$h$,$\tau$,$n_s$,$\ln(10^{10}A_s)$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
29,0.0,0.0208363256649983,0.160240885319296,0.699862093898214,0.0446183796315979,1.09563072957286,1.91785518043978,-1621323.97667679,-inf,152
30,0.0,0.02165534959526,0.0549569530222168,0.689110061251486,0.060174635446834,1.09238078927373,3.56664552619369,-1616485.46790286,-inf,151
31,0.0,0.0200348507980914,0.102043862838577,0.772655380895518,0.0826921493461625,0.90991159501831,2.04683606962425,-1601977.6397895,-inf,150
32,0.0,0.0193587077714737,0.136972629720308,0.712376460414811,0.103254639515187,0.859881652204744,2.25696882262271,-1558276.31235139,-inf,153
33,0.0,0.0250961629078695,0.241893604749736,0.714861599845263,0.0528081867599521,0.943526117377173,2.21970687214009,-1529953.25313635,-3252560.73826518,152
34,0.0,0.0221561587974291,0.110471553638837,0.742615446677821,0.0643033169197657,1.07998381600477,3.85360668009408,-1475627.63018201,-inf,151
35,0.0,0.021434710119346,0.236891349230866,0.69612712556559,0.114121006435877,1.08452050790382,2.25209397134073,-1456639.43334402,-inf,150
36,0.0,0.0248962576986396,0.114053063063409,0.724028225821207,0.10353975192339,0.846647669343836,2.11331879781228,-1454882.76783454,-1456639.43334402,153
37,0.0,0.0194765325613204,0.17406714944804,0.818437687359967,0.0677201981485507,0.918533194677227,2.38021738742975,-1402208.61838516,-inf,152
38,0.0,0.0194457105032205,0.109658656642321,0.7451673107764,0.0798090657893723,0.949062937326715,2.07841987379614,-1393950.31261525,-inf,151
39,0.0,0.0228388304074856,0.104013034710372,0.750948857827247,0.109353799478565,0.854821682960809,2.14858099959692,-1349076.74561841,-inf,150
40,0.0,0.0247459360329992,0.157436104333363,0.701154640216663,0.0739578341729352,0.988118581112817,2.07076380025294,-1345514.55503373,-inf,153
41,0.0,0.0253333046234975,0.184881537396108,0.771985343219943,0.0417893698232887,1.03285958298087,3.90802203966834,-1223051.70797969,-inf,152
42,0.0,0.0243368899207691,0.0743880616729415,0.774449501915239,0.053352195929067,0.973992471722978,3.62773422440876,-1203422.78362986,-2837886.98586505,151
43,0.0,0.0216250987616995,0.144183362124545,0.750764791976017,0.0966182383810126,0.959766196955511,2.23415613895375,-1197252.90712924,-inf,150
44,0.0,0.0260160000840265,0.128296508052382,0.70509391308391,0.0596332914805253,0.88808516343402,3.80339180976976,-1065441.70261203,-inf,153
45,0.0,0.0200608781216079,0.0858233704066568,0.702647561963494,0.0713321136532723,1.02636826750421,1.92101763740523,-1061073.06066949,-inf,152
46,0.0,0.0210883344394325,0.0550682443770607,0.683856136510967,0.058982516637141,1.05516757173483,3.31927444246347,-1045361.34903153,-inf,151
47,0.0,0.0255871741050804,0.172253734054627,0.773659002741707,0.0639652159872166,1.02623513365525,3.83736102735959,-1023471.10911779,-1601977.6397895,150
48,0.0,0.0242643625778479,0.21580777528491,0.681268600252334,0.0763184945075631,0.897535099578512,2.38505894401341,-1010882.62706177,-4945942.14985933,153
49,0.0,0.0240519612566861,0.0885099499469339,0.780477783579497,0.0426180634823523,1.09273216431998,1.86797205405977,-957405.923733106,-3252560.73826518,152
50,0.0,0.0205092889671334,0.0721392778996516,0.804409018396772,0.0576964829014637,1.09210199486481,1.88201786782709,-947901.292854478,-2837886.98586505,151
51,0.0,0.0243493359575193,0.213215711289616,0.702648709118845,0.103376056291528,0.852083188999532,2.51813320578312,-942757.391249183,-inf,150
52,0.0,0.0223421685891858,0.0522700201633676,0.765600229987808,0.0439948999182912,1.01532494743948,3.28338092272574,-892847.783786983,-inf,153
53,0.0,0.0234731166778024,0.169504830510411,0.651785990560007,0.0663795507427928,0.992116881823196,3.73474424360702,-892200.297400132,-inf,152
54,0.0,0.0247810217233253,0.203267873721204,0.775409473373355,0.0925270730903394,0.919889978897814,2.4698762356248,-877426.192384591,-inf,151
55,0.0,0.0238283674347003,0.110781556253247,0.694458037295453,0.0677814814634949,0.99741887987684,2.05314591975231,-852970.272943124,-2041297.53723236,150
